[FINE], 18/Jul/2021 - 23:47:55, Buying has been done!
[FINE], 18/Jul/2021 - 23:47:57, Buying has been done!
[INFO], 18/Jul/2021 - 23:47:58, Not enough coin to build this workshop!
[INFO], 18/Jul/2021 - 23:47:59, Not enough coin to build this workshop!
[INFO], 18/Jul/2021 - 23:47:59, Not enough coin to build this workshop!
[INFO], 18/Jul/2021 - 23:47:59, Not enough coin to build this workshop!
[INFO], 18/Jul/2021 - 23:48:00, Not enough coin to build this workshop!
[INFO], 18/Jul/2021 - 23:48:00, Not enough coin to build this workshop!
[INFO], 18/Jul/2021 - 23:48:00, Not enough coin to build this workshop!
[INFO], 18/Jul/2021 - 23:48:01, Not enough coin to build this workshop!
[INFO], 18/Jul/2021 - 23:48:08, Grass planted
[INFO], 18/Jul/2021 - 23:48:08, There isn't any product on this coordinate 
[INFO], 18/Jul/2021 - 23:48:08, Grass planted
[INFO], 18/Jul/2021 - 23:48:14, Grass planted
[FINE], 18/Jul/2021 - 23:48:14, New cage on 6, 4
[INFO], 18/Jul/2021 - 23:48:14, Grass planted
[INFO], 18/Jul/2021 - 23:48:14, Cage can't be used. You used it on this cage in this step
[INFO], 18/Jul/2021 - 23:48:14, Grass planted
[INFO], 18/Jul/2021 - 23:48:15, Cage can't be used. You used it on this cage in this step
[INFO], 18/Jul/2021 - 23:48:15, Water needed
[INFO], 18/Jul/2021 - 23:48:15, Cage can't be used. You used it on this cage in this step
[INFO], 18/Jul/2021 - 23:48:15, Water needed
[INFO], 18/Jul/2021 - 23:48:18, There isn't any product on this coordinate 
[INFO], 18/Jul/2021 - 23:48:18, Water needed
[INFO], 18/Jul/2021 - 23:48:19, There isn't any product on this coordinate 
[INFO], 18/Jul/2021 - 23:48:19, Water needed
[INFO], 18/Jul/2021 - 23:48:21, Water needed
[INFO], 18/Jul/2021 - 23:48:23, Water needed
[INFO], 18/Jul/2021 - 23:48:24, Water needed
[INFO], 18/Jul/2021 - 23:48:24, There isn't any product on this coordinate 
[INFO], 18/Jul/2021 - 23:48:24, Water needed
[INFO], 18/Jul/2021 - 23:48:29, There isn't any product on this coordinate 
[INFO], 18/Jul/2021 - 23:48:29, Water needed
[FINE], 18/Jul/2021 - 23:48:30, New cage on 3, 8
[INFO], 18/Jul/2021 - 23:48:30, Water needed
[INFO], 18/Jul/2021 - 23:48:31, Cage can't be used. You used it on this cage in this step
[INFO], 18/Jul/2021 - 23:48:31, Water needed
[INFO], 18/Jul/2021 - 23:48:32, Cage can't be used. You used it on this cage in this step
[INFO], 18/Jul/2021 - 23:48:32, Water needed
